99999 100000
0 76833 82
0 99204 30
1 2806 12660
1 38378 47533
0 28123 26
1 25771 49081
0 69178 24
0 79880 81
0 42286 89
1 6056 93843
0 31746 38
1 44991 69976
0 46717 76
0 64262 57
1 38805 53524
0 91439 22
1 73880 99894
0 31537 13
1 57782 79670
0 47196 76
1 20033 58220
1 11993 29133
1 1118 43121
1 15165 85260
1 7194 81441
1 78596 97436
0 26541 2
0 96698 27
0 38852 80
0 93461 66
0 89203 86
0 9505 97
0 49926 62
0 41733 68
1 51673 58040
0 32996 79
1 6127 42424
0 28774 23
1 1402 62504
1 86191 93318
0 83993 41
0 68644 44
1 46927 70405
0 17925 53
1 37361 58833
0 81004 91
1 43318 48317
0 78520 25
1 18525 28681
0 32417 80
1 67448 83086
0 81066 67
1 34580 58442
0 23035 89
1 21836 70469
1 9878 60576
1 61534 61643
0 75131 25
0 297 21
0 7368 34
0 45389 64
1 89976 98026
0 59642 30
1 55179 78510
1 14476 22119
1 21551 77491
1 15458 70072
1 62639 94071
0 62942 54
0 43457 78
0 61400 25
0 54485 59
1 26194 88369
0 65493 58
1 19793 49973
0 12956 77
1 10802 41933
1 23518 63146
0 96628 51
1 5348 36705
0 94528 92
1 4573 73477
0 67924 92
1 23270 91551
0 97835 64
1 68995 73505
1 16869 93171
1 27807 91960
1 4542 16374
1 29770 47009
0 95026 66
0 98762 90
0 63848 22
0 96130 20
0 60092 78
1 748 47037
0 2555 20
0 36247 63
0 56734 92
0 89832 83
0 74692 89
0 61964 98
0 82729 14
1 40182 94861
0 28909 11
1 7317 91543
0 70725 49
0 93441 46
1 77001 97162
0 94338 19
1 15956 77988
0 37288 60
0 97497 58
0 96904 51
0 73007 69
1 50685 53529
1 38609 74357
1 57951 80025
1 52952 89156
0 56975 17
0 9688 93
0 18187 74
0 58906 19
1 9936 52887
0 30926 79
1 41036 92295
0 56403 29
1 13520 65923
1 11759 25564
0 22996 67
0 88383 45
1 42003 46885
1 73118 84944
0 98361 25
1 11838 51105
0 36607 96
1 16015 43514
1 73924 98299
1 24187 64178
1 1344 52391
1 63674 67765
1 40049 89882
0 56021 13
1 18784 63429
1 23523 70828
0 41849 98
0 53812 63
0 34576 81
0 26036 95
1 13055 90725
0 60226 47
0 53791 78
0 25363 94
0 37854 13
1 93356 99122
1 23568 33052
1 4121 62686
1 17066 23750
1 27 66978
1 36330 76314
0 43377 10
0 56490 74
0 77418 11
1 40915 77389
0 1230 97
1 90394 90716
0 58885 27
0 59340 97
0 63185 83
1 22243 63653
0 12938 90
1 4081 41568
1 39601 47566
0 98701 39
1 13243 46532
0 62392 5
0 70860 14
0 81243 78
1 39509 59993
1 19964 72673
0 85474 26
1 52826 73618
1 54410 75779
1 9485 62392
1 33668 45411
1 58350 88610
1 28564 68802
1 63633 94785
0 45976 67
1 25592 56307
1 90111 90577
1 20838 89829
0 81662 23
0 14302 45
0 33203 74
1 54940 86058
0 26861 0
0 43860 39
0 20521 32
1 72483 81284
1 62338 90465
0 71833 34
1 12186 30890
0 50348 34
0 57212 77
1 63971 85933
1 73224 87555
1 52989 71455
1 40189 62134
1 6033 33729
1 65830 95847
0 42521 14
1 15951 77327
1 29709 87456
1 42702 46250
0 30609 2
0 83631 3
0 5198 60
0 14824 48
0 99418 11
0 25479 9
0 97937 86
0 9580 88
0 77745 35
1 20227 60486
0 77405 78
0 96295 96
1 36453 96259
0 45544 43
1 11287 83610
1 35030 50507
0 7384 18
1 42956 62330
0 6534 43
1 54873 66688
1 33686 90920
1 9666 19803
0 60462 93
0 45819 19
0 52137 82
0 70087 33
1 56135 94357
1 57241 61401
0 48709 47
1 49904 56319
1 50036 62354
0 49081 3
0 50698 74
1 46132 66829
0 51164 79
0 75768 99
0 82422 4
1 45528 97534
1 5565 95290
1 6965 98083
0 62116 77
1 47858 54968
0 83171 28
0 88505 87
0 72240 16
0 35763 74
1 20994 34694
1 18856 21629
0 24843 26
1 11304 15085
0 29627 52
0 17113 38
0 22744 13
0 51723 52
1 63878 74933
0 57206 55
0 58242 23
0 29239 5
1 46877 60211
1 47283 99666
0 43364 84
1 75548 85743
0 60607 84
1 7299 96221
0 77603 97
0 63285 62
0 19193 2
1 9295 91144
0 72994 58
1 42668 73918
0 86907 76
1 57417 60585
0 42599 94
0 53427 40
1 35659 53620
0 63070 60
0 16430 27
1 28660 32715
1 6494 17840
0 64230 92
0 45224 84
0 85804 87
1 18361 25567
1 23297 34562
0 28078 32
1 20688 62781
1 24362 28036
0 30887 78
1 23384 54267
0 4469 52
1 49100 65738
0 64026 84
0 66402 58
0 10613 87
1 71414 72778
0 38824 67
0 65762 44
0 60973 52
0 48205 23
1 31871 88440
1 72090 75629
1 39724 77854
0 20499 15
1 31438 56383
0 76694 95
0 68719 18
1 46015 75311
1 32219 34149
1 38290 93034
1 27246 55217
1 87098 93099
1 74333 83636
0 22014 9
0 81511 77
0 27628 71
0 49189 6
1 82606 83128
0 95824 88
1 66563 90728
1 6535 86217
1 1023 76073
1 1982 95613
0 67201 57
0 45724 23
1 9523 98447
0 35190 36
1 20546 27321
0 13120 26
1 81227 98357
1 28179 67578
1 91983 96732
0 19885 11
0 69921 3
1 73888 78561
0 25371 82
0 17763 27
0 23222 81
0 85012 70
0 98674 88
0 17627 53
0 91506 98
0 23986 19
1 36854 79205
1 5544 62063
0 46275 26
1 29425 76252
0 54061 70
1 12860 56642
0 753 76
1 1818 5921
0 58694 46
0 72135 52
1 43258 51048
1 26248 32426
0 68312 62
0 75513 35
0 89394 54
0 36963 84
0 42320 23
0 40076 8
1 40541 80393
1 39755 79794
1 185 5117
0 46865 27
0 44749 36
0 40868 59
0 32453 14
1 68399 90172
0 96245 15
1 14798 76198
0 81762 6
1 15304 61976
1 3782 79963
0 14097 54
0 49343 67
1 75586 80563
0 48380 38
1 66966 78095
1 267 74487
1 21553 58309
0 60463 64
0 77591 55
1 42448 98634
1 58401 72420
0 94105 41
1 87619 99768
0 54024 10
0 76757 80
1 28011 96151
1 64462 82088
0 12704 43
1 10134 31312
1 13953 25212
0 52758 1
0 1927 65
1 7187 13188
1 16276 80432
1 42958 91475
1 22839 82129
1 57714 84383
1 44340 74128
1 44482 51281
0 1493 1
1 40179 67432
0 40906 10
1 46717 78004
1 18567 78140
1 34354 74496
1 17312 26404
0 73624 70
0 36156 6
0 6434 82
0 59009 2
1 58614 59774
1 11397 55369
1 36890 71751
1 5095 79896
1 42360 96073
0 66338 60
0 7103 77
1 8187 83884
1 2892 89629
1 36220 77182
0 86145 41
1 29240 59487
0 64476 37
1 31882 35848
1 813 16519
0 94361 49
0 7405 99
0 86572 87
0 73547 63
1 17965 37314
1 49317 89241
0 6190 23
0 34884 96
0 41413 62
0 64738 70
1 19448 53044
1 23462 29421
0 66997 91
0 38305 59
1 83643 95942
0 6754 63
1 51112 64539
0 71199 29
0 80053 92
1 54445 71530
0 64112 54
0 51967 11
1 34301 70530
0 62347 43
0 19773 2
0 99866 23
1 21021 67775
0 48108 44
0 48437 32
0 58203 11
1 17067 74597
1 20375 67767
0 82603 60
1 54395 92495
1 25162 49330
0 76193 46
0 73481 41
1 223 56353
